date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,7.86,5107.127472329432,2.8600000000000003,2.8600000000000003,0
2024-01-02,6.63,5100.93897500158,1.63,4.49,0
2024-01-03,6.55,5094.750477673729,1.5499999999999998,6.04,0
2024-01-04,8.08,5088.561980345878,3.08,9.120000000000001,0
2024-01-05,7.14,5082.373483018026,2.1399999999999997,11.260000000000002,0
2024-01-06,9.44,5076.184985690174,4.4399999999999995,15.700000000000001,0
2024-01-07,7.52,5069.996488362322,2.5199999999999996,18.22,0
2024-01-08,4.01,5063.807991034471,0.0,18.22,0
2024-01-09,4.95,5057.619493706619,0.0,18.22,0
2024-01-10,6.58,5051.430996378767,1.58,19.799999999999997,0
2024-01-11,4.31,5045.242499050916,0.0,19.799999999999997,0
2024-01-12,6.76,5039.054001723065,1.7599999999999998,21.559999999999995,0
2024-01-13,4.93,5032.865504395213,0.0,21.559999999999995,0
2024-01-14,5.15,5026.677007067361,0.15000000000000036,21.709999999999994,0
2024-01-15,6.25,5020.48850973951,1.25,22.959999999999994,0
2024-01-16,2.06,5014.300012411659,0.0,22.959999999999994,0
2024-01-17,5.9,5008.111515083807,0.9000000000000004,23.859999999999992,0
2024-01-18,8.39,5006.6307830141195,3.3900000000000006,27.249999999999993,0
2024-01-19,8.26,5005.150050944432,3.26,30.50999999999999,0
2024-01-20,6.71,5003.669318874746,1.71,32.21999999999999,0
2024-01-21,9.49,5002.188586805059,4.49,36.709999999999994,0
2024-01-22,9.61,5000.707854735371,4.609999999999999,41.31999999999999,0
2024-01-23,7.98,4999.227122665685,2.9800000000000004,44.3,0
2024-01-24,3.69,4997.746390595998,0.0,44.3,0
2024-01-25,3.15,4996.26565852631,0.0,44.3,0
2024-01-26,3.81,4994.784926456623,0.0,44.3,0
2024-01-27,4.69,4993.304194386936,0.0,44.3,0
2024-01-28,4.97,4991.823462317249,0.0,44.3,0
2024-01-29,5.61,4990.342730247562,0.6100000000000003,44.91,0
2024-01-30,7.55,4988.861998177875,2.55,47.459999999999994,0
2024-01-31,8.92,4987.381266108188,3.92,51.379999999999995,0
2024-02-01,9.33,4985.900534038501,4.33,55.709999999999994,0
2024-02-02,3.96,4984.419801968814,0.0,55.709999999999994,0
2024-02-03,4.94,4975.2672597412,0.0,55.709999999999994,0
2024-02-04,4.5,4966.114717513587,0.0,55.709999999999994,0
2024-02-05,2.9,4956.962175285973,0.0,55.709999999999994,0
2024-02-06,2.86,4947.809633058359,0.0,55.709999999999994,0
2024-02-07,4.08,4938.657090830745,0.0,55.709999999999994,0
2024-02-08,4.65,4929.504548603131,0.0,55.709999999999994,0
2024-02-09,5.48,4920.352006375518,0.4800000000000004,56.19,0
2024-02-10,6.13,4911.199464147904,1.13,57.32,0
2024-02-11,6.66,4902.0469219202905,1.6600000000000001,58.980000000000004,0
2024-02-12,5.18,4892.894379692677,0.17999999999999972,59.160000000000004,0
2024-02-13,8.68,4883.741837465063,3.6799999999999997,62.84,0
2024-02-14,10.37,4874.589295237449,5.369999999999999,68.21000000000001,0
2024-02-15,13.59,4865.436753009835,8.59,76.80000000000001,0
2024-02-16,9.01,4856.284210782222,4.01,80.81000000000002,0
2024-02-17,7.88,4847.131668554608,2.88,83.69000000000001,0
2024-02-18,11.95,4837.979126326994,6.949999999999999,90.64000000000001,0
2024-02-19,14.92,4844.120863327515,9.92,100.56000000000002,0
2024-02-20,17.0,4850.262600328035,12.0,112.56000000000002,0
2024-02-21,9.5,4856.404337328556,4.5,117.06000000000002,0
2024-02-22,4.96,4862.546074329076,0.0,117.06000000000002,0
2024-02-23,3.02,4868.687811329596,0.0,117.06000000000002,0
2024-02-24,4.5,4874.829548330116,0.0,117.06000000000002,0
2024-02-25,5.96,4880.971285330636,0.96,118.02000000000001,0
2024-02-26,6.64,4887.1130223311575,1.6399999999999997,119.66000000000001,0
2024-02-27,5.35,4893.254759331678,0.34999999999999964,120.01,0
2024-02-28,6.18,4899.396496332198,1.1799999999999997,121.19,0
2024-02-29,7.02,4905.538233332718,2.0199999999999996,123.21,0
2024-03-01,9.34,4911.679970333238,4.34,127.55,0
2024-03-02,5.05,4917.821707333758,0.04999999999999982,127.6,0
2024-03-03,5.9,4923.963444334279,0.9000000000000004,128.5,0
2024-03-04,7.76,4930.105181334799,2.76,131.26,0
2024-03-05,6.28,4936.24691833532,1.2800000000000002,132.54,1
2024-03-06,6.24,4933.65577354718,1.2400000000000002,133.78,0
2024-03-07,6.24,4931.064628759039,1.2400000000000002,135.02,0
2024-03-08,5.05,4928.473483970899,0.04999999999999982,135.07000000000002,0
2024-03-09,5.06,4925.882339182759,0.05999999999999961,135.13000000000002,0
2024-03-10,5.2,4923.291194394618,0.20000000000000018,135.33,0
2024-03-11,6.88,4920.700049606478,1.88,137.21,0
2024-03-12,10.18,4918.108904818338,5.18,142.39000000000001,0
2024-03-13,7.72,4915.517760030198,2.7199999999999998,145.11,0
2024-03-14,7.78,4912.926615242058,2.7800000000000002,147.89000000000001,0
2024-03-15,9.54,4910.335470453917,4.539999999999999,152.43,0
2024-03-16,11.34,4907.744325665777,6.34,158.77,0
2024-03-17,14.6,4905.153180877636,9.6,168.37,0
2024-03-18,7.23,4902.562036089496,2.2300000000000004,170.6,0
2024-03-19,6.67,4899.9708913013565,1.67,172.26999999999998,0
2024-03-20,8.89,4897.379746513216,3.8900000000000006,176.15999999999997,0
2024-03-21,5.02,4894.788601725076,0.019999999999999574,176.17999999999998,0
2024-03-22,5.66,4917.392191235081,0.6600000000000001,176.83999999999997,0
