date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,6.87,4836.878824991718,1.87,1.87,0
2024-01-02,6.56,4828.608680987301,1.5599999999999996,3.4299999999999997,0
2024-01-03,7.52,4820.338536982885,2.5199999999999996,5.949999999999999,0
2024-01-04,7.42,4812.068392978469,2.42,8.37,0
2024-01-05,6.74,4803.7982489740525,1.7400000000000002,10.11,0
2024-01-06,8.5,4795.528104969636,3.5,13.61,0
2024-01-07,6.24,4787.25796096522,1.2400000000000002,14.85,0
2024-01-08,2.58,4778.987816960804,0.0,14.85,0
2024-01-09,4.46,4770.717672956387,0.0,14.85,0
2024-01-10,5.49,4762.4475289519705,0.4900000000000002,15.34,0
2024-01-11,3.96,4754.177384947554,0.0,15.34,0
2024-01-12,5.32,4745.907240943138,0.3200000000000003,15.66,0
2024-01-13,3.69,4737.637096938722,0.0,15.66,0
2024-01-14,4.29,4729.366952934305,0.0,15.66,0
2024-01-15,4.25,4721.096808929889,0.0,15.66,0
2024-01-16,1.17,4712.826664925473,0.0,15.66,0
2024-01-17,4.88,4704.556520921056,0.0,15.66,0
2024-01-18,8.4,4704.849306532486,3.4000000000000004,19.060000000000002,0
2024-01-19,6.82,4705.142092143915,1.8200000000000003,20.880000000000003,0
2024-01-20,6.0,4705.434877755345,1.0,21.880000000000003,0
2024-01-21,10.63,4705.727663366774,5.630000000000001,27.510000000000005,0
2024-01-22,10.04,4706.020448978204,5.039999999999999,32.550000000000004,0
2024-01-23,7.26,4706.313234589634,2.26,34.81,0
2024-01-24,3.4,4706.606020201063,0.0,34.81,0
2024-01-25,3.09,4706.898805812492,0.0,34.81,0
2024-01-26,3.75,4707.191591423922,0.0,34.81,0
2024-01-27,4.03,4707.484377035351,0.0,34.81,0
2024-01-28,4.52,4707.777162646781,0.0,34.81,0
2024-01-29,5.94,4708.06994825821,0.9400000000000004,35.75,0
2024-01-30,6.59,4708.36273386964,1.5899999999999999,37.34,0
2024-01-31,8.84,4708.65551948107,3.84,41.18000000000001,0
2024-02-01,6.79,4708.948305092499,1.79,42.970000000000006,0
2024-02-02,2.95,4709.241090703928,0.0,42.970000000000006,1
2024-02-03,3.68,4708.208922673424,0.0,42.970000000000006,0
2024-02-04,4.58,4707.17675464292,0.0,42.970000000000006,0
2024-02-05,3.44,4706.144586612416,0.0,42.970000000000006,0
2024-02-06,3.33,4705.112418581912,0.0,42.970000000000006,0
2024-02-07,3.58,4704.0802505514075,0.0,42.970000000000006,0
2024-02-08,4.34,4703.048082520903,0.0,42.970000000000006,0
2024-02-09,4.55,4702.015914490399,0.0,42.970000000000006,0
2024-02-10,5.91,4700.983746459895,0.9100000000000001,43.88000000000001,0
2024-02-11,5.32,4699.95157842939,0.3200000000000003,44.20000000000001,0
2024-02-12,4.81,4698.919410398886,0.0,44.20000000000001,0
2024-02-13,7.45,4697.8872423683815,2.45,46.65000000000001,0
2024-02-14,10.43,4696.855074337877,5.43,52.08000000000001,0
2024-02-15,12.66,4695.822906307373,7.66,59.74000000000001,0
2024-02-16,6.72,4694.790738276869,1.7199999999999998,61.46000000000001,0
2024-02-17,6.82,4693.758570246365,1.8200000000000003,63.28000000000001,0
2024-02-18,12.01,4692.726402215861,7.01,70.29,0
2024-02-19,14.06,4687.712156161613,9.06,79.35000000000001,0
2024-02-20,13.99,4682.697910107366,8.99,88.34,0
2024-02-21,6.03,4677.683664053117,1.0300000000000002,89.37,0
2024-02-22,4.19,4672.66941799887,0.0,89.37,0
2024-02-23,2.89,4667.655171944622,0.0,89.37,0
2024-02-24,3.65,4662.640925890375,0.0,89.37,0
2024-02-25,5.73,4657.626679836128,0.7300000000000004,90.10000000000001,0
2024-02-26,6.22,4652.61243378188,1.2199999999999998,91.32000000000001,0
2024-02-27,5.56,4647.598187727632,0.5599999999999996,91.88000000000001,0
2024-02-28,5.43,4642.583941673384,0.4299999999999997,92.31,0
2024-02-29,6.23,4637.569695619137,1.2300000000000004,93.54,0
2024-03-01,8.81,4632.555449564889,3.8100000000000005,97.35000000000001,0
2024-03-02,3.91,4627.541203510642,0.0,97.35000000000001,0
2024-03-03,5.38,4622.526957456394,0.3799999999999999,97.73,0
2024-03-04,5.6,4617.512711402146,0.5999999999999996,98.33,0
2024-03-05,5.19,4612.498465347899,0.1900000000000004,98.52,0
2024-03-06,5.85,4619.042993797815,0.8499999999999996,99.36999999999999,0
2024-03-07,5.24,4625.587522247732,0.2400000000000002,99.60999999999999,0
2024-03-08,4.59,4632.132050697647,0.0,99.60999999999999,0
2024-03-09,3.89,4638.676579147564,0.0,99.60999999999999,0
2024-03-10,3.94,4645.22110759748,0.0,99.60999999999999,0
2024-03-11,6.25,4651.765636047396,1.25,100.85999999999999,0
2024-03-12,8.19,4658.310164497312,3.1899999999999995,104.04999999999998,0
2024-03-13,6.21,4664.854692947229,1.21,105.25999999999998,0
2024-03-14,6.89,4671.399221397145,1.8899999999999997,107.14999999999998,0
2024-03-15,8.83,4677.943749847062,3.83,110.97999999999998,0
2024-03-16,9.56,4684.488278296977,4.5600000000000005,115.53999999999998,0
2024-03-17,13.42,4691.032806746894,8.42,123.95999999999998,0
2024-03-18,5.58,4697.57733519681,0.5800000000000001,124.53999999999998,0
2024-03-19,5.96,4704.121863646726,0.96,125.49999999999997,0
2024-03-20,7.62,4710.666392096642,2.62,128.11999999999998,0
2024-03-21,4.56,4717.210920546559,0.0,128.11999999999998,0
